      x         y         z     velocity      sfr
     43.32     66.19      0.08   4595.17      0.00
     45.25     66.12      0.12   4858.85      1.89
     48.75     60.91      0.13   4950.48      1.86
     55.37      0.62      0.17     46.97     17.19
     50.70    123.84      0.21   8470.51      0.66
     45.88    106.17      0.28   8133.73      5.19
     50.06    124.65      0.34   8804.01      8.90
     43.89     65.86      0.38   5754.24      0.00
     49.19     59.61      0.49   5627.14      9.55
     55.27      0.77      0.52  -1068.20      0.50
     44.44     65.39      0.73   4850.80      1.00
     42.17     66.08      0.74   4818.52      1.92
     48.08     65.85      0.82   5484.49      7.02
     49.40     67.19      0.82   5114.56      0.23
     41.14    123.19      0.92   8942.09      1.88
     47.77     62.48      0.95   5010.74      6.28
     48.04     66.70      1.06   4430.87      1.31
     56.93    139.34      1.06  10464.10      2.08
     56.31     69.25      1.10   5205.08      3.54
     49.53     67.30      1.11   5205.67     12.98
     51.59     46.25      1.14   3827.61      3.03
     54.41     14.81      1.18    937.85      2.12
     50.45     67.19      1.21   5130.34      1.12
     50.84      1.26      1.59    -82.97      1.53
     51.89    117.24      1.59   8700.50      3.00
     52.93     17.08      1.95   1417.18      2.46
     40.90     82.85      2.24   6427.14      3.65
     45.64     68.90      2.26   5090.79      3.86
     41.65    104.37      2.28   7903.63      4.14
     44.31     16.83      2.47    953.26      3.52
     51.56    130.79      2.78   9250.53      3.84
     50.28    130.92      2.85   9272.92      3.02
     48.71      0.92      2.91    189.43     13.09
     56.77    133.76      3.25   9803.93      2.84
     53.44     17.70      3.72   1249.66     17.88
     40.68    113.01      3.80   8157.85     10.99
     54.10     19.12      4.13    734.84      5.08
     47.53     77.74      4.19   5652.67      1.60
     54.79     68.37      4.29   5736.28      0.00
     54.78     68.14      4.32   5364.67      0.00
     54.92     68.30      4.55   5497.61      0.00
     57.90      2.62      4.55     74.73      1.75
     43.96    119.40      4.67   9019.32      2.95
     49.13     39.64      4.71   3265.25      1.74
     52.03     94.98      4.90   6839.33      2.66
     55.03     68.39      4.91   5489.39      0.00
     57.92      0.33      5.01   1114.66     17.24
     51.97    117.23      5.09   8894.91      2.59
     55.26     68.15      5.09   4724.14      0.00
     40.25     63.62      5.14   5142.22      1.73
     51.18    122.14      5.20   8718.83      0.00
     48.05      3.27      5.51     62.78      1.73
     55.04     96.64      5.57   7042.19      3.29
     43.20    135.33      5.59   9969.56      0.77
     47.94     83.98      5.78   6156.74      2.79
     51.93    121.60      5.88   8653.71      0.00
     51.57    122.18      5.90   9160.57      0.00
     56.07     72.36      5.93   5363.95      0.76
     55.75    115.34      5.99   8369.59      2.84
     59.29    138.59      6.11  10388.78      2.64
     53.01     18.90      6.25    875.49      3.52
     46.89     81.47      6.27   6221.52      5.25
     49.35     75.20      6.34   5888.53      8.87
     56.30     73.59      6.59   5444.44      7.75
     49.51     75.38      6.64   5268.24      0.36
     47.92     60.13      6.74   4854.53      3.44
     52.98    117.20      6.95   8907.58      3.02
     50.92     61.06      7.07   5306.30     10.28
     51.00     61.22      7.08   5111.11      0.16
     51.66    119.95      7.20   9397.08      5.76
     40.47     60.00      7.27   4715.80      8.04
     50.43     74.73      7.36   5703.65      3.26
     52.29     76.76      7.51   5756.34      3.56
     42.63     54.50      7.54   4862.49      5.33
     52.66     17.74      7.54   1313.95      0.00
     52.68     17.74      7.54   1777.72      0.00
     45.11     59.24      7.66   4986.36      2.72
     58.18     94.98      7.66   7254.25      1.93
     52.87     17.73      7.69   1178.54      0.00
     52.63     82.16      7.74   5861.64      9.54
     52.87     81.42      7.80   6235.31      0.77
     51.73    119.04      7.94   9199.59      5.47
     54.98    109.58      8.03   8468.68      2.89
     52.66     17.88      8.07    458.51      0.00
     41.97    134.23      8.17   9881.31      3.35
     40.99     67.29      8.31   5508.05      9.48
     54.13     14.88      8.38   1381.71      4.99
     41.05     19.80      8.45   1465.24      0.01
     41.17     19.68      8.46   2068.17      9.82
     54.56    128.13      8.56   9689.02      0.00
     57.08     69.56      8.58   5772.91      0.20
     54.42    128.13      8.63   8996.94      0.00
     56.47     73.18      8.72   5223.66      4.85
     56.55     85.67      8.77   6470.13      4.45
     57.91     70.08      8.93   5673.22      0.00
     55.88    105.73      9.19   7840.66      2.50
     55.16     12.36      9.20   1040.23      3.37
     53.37     14.47      9.22   1368.99      1.54
     57.17     71.82      9.23   5357.23     12.12
     59.84      4.36      9.37   1070.50      1.73
     55.22     11.59      9.50    983.11      2.95
     57.68      9.30      9.53   1034.77      1.70
     55.47    110.63      9.55   8365.76      2.57
     53.69     79.22      9.57   6027.57      2.07
     49.10     78.44      9.59   5886.74      4.19
     56.86     11.44     10.22   1113.51      1.65
     49.26     90.05     10.29   6707.62      2.84
     51.65    124.27     10.31   8684.86      1.73
     54.01    115.76     10.31   8628.00      2.87
     51.55     19.55     10.40   1275.65      3.03
     57.57    132.90     10.55   9869.48      4.23
     55.86     13.52     10.67    628.39      5.68
     54.15     22.66     10.91   1816.99      3.93
     48.77     84.58     11.05   6160.81      2.00
     58.16    132.42     11.09  10201.68      5.19
     59.37     99.96     11.27   7390.81      0.00
     59.38    100.09     11.33   7444.01      0.01
     48.69     42.49     11.40   3491.10      1.68
     58.82     18.78     11.44   1546.03      2.34
     53.82     23.10     11.56   1212.45      5.90
     53.81     23.08     11.57   1384.68      0.17
     43.38     93.12     12.00   6768.00      2.76
     55.56    128.64     12.21   9821.75      3.63
     57.65     61.37     12.25   5262.77      2.81
     55.07     31.29     12.30   2407.15      1.82
     40.28      2.60     12.43    942.29      2.19
     50.64     83.64     12.51   6067.21      3.29
     57.02    107.82     12.59   8266.25      0.00
     55.35     26.57     12.73   1957.94      2.42
     55.03    114.71     12.99   8123.04      0.00
     58.89     72.64     13.04   5665.07      5.06
     55.20    114.98     13.14   9306.58      0.00
     54.94    115.72     13.21   8179.69      0.02
     57.29     40.90     13.32   3702.79      4.44
     59.03     72.13     13.57   5459.43      0.69
     50.70     77.02     13.82   5757.46      1.97
     50.44     53.03     14.31   4515.49      1.86
     51.47    120.80     14.73   8961.70      2.20
     57.27     72.48     14.82   5327.48      1.57
     57.34    114.78     14.86   8398.71      4.39
     57.14    111.90     15.15   8573.78      2.34
     52.26    122.18     15.33   9542.42      2.48
     56.11     74.34     15.72   5790.56      2.98
     59.31     42.34     15.81   3351.78      3.23
     57.72     40.06     15.88   3267.18     10.06
     51.76     15.72     15.99   1589.30      2.84
     58.72    119.03     16.23   9676.77     10.56
     58.54    119.12     16.32   9143.04      0.48
     58.78    116.58     16.45   9173.71      3.24
     45.54     21.61     16.55   2204.54      8.76
     53.16     71.92     16.74   5845.04      4.58
     59.09     82.61     16.86   6078.77      3.69
     52.66    120.75     17.03   9369.97      1.78
     43.89     66.43     17.19   5300.27      5.37
     45.41     42.71     17.28   3765.91      3.32
     44.15     22.37     17.30   2330.51      2.93
     49.84     56.55     17.34   5033.99      1.15
     51.43     15.08     17.42   1656.78     11.68
     52.96    124.85     17.49   9381.84      0.00
     52.99    124.89     17.49   9042.45      0.00
     56.12     48.22     17.55   4040.39      2.15
     52.60    124.70     17.60   8879.63      0.01
     53.04    124.94     17.60   8864.40      0.00
     58.01     79.08     17.74   6123.99      2.27
     52.50     71.81     17.92   6132.16      1.61
     53.81    125.50     18.33   9142.87      1.90
     50.13     65.06     18.59   5041.94      5.84
     57.78     74.35     18.72   5771.16      2.13
     51.59    128.52     18.74   9468.70      3.11
     52.26    122.12     18.74   9343.08      7.17
     53.38     42.90     18.92   4028.23      4.79
     54.13    127.93     19.00   8670.15      0.00
     54.04     44.28     19.04   3767.58      2.14
     49.76     14.88     19.15   1753.94      2.91
     52.16     76.13     19.18   6116.67      0.00
     56.34    124.57     19.19   9618.94      6.30
     52.09     76.22     19.26   5985.60      1.44
     52.08     76.22     19.28   6086.71      0.00
     56.78     11.56     19.37   1243.76      4.40
     55.94     80.08     19.44   5489.88      1.99
     57.44     80.83     19.59   6095.26      0.00
     57.55     80.65     19.61   6300.86      0.00
     54.58    129.14     19.65   9137.11      4.97
     56.19     68.04     19.70   5672.07      2.16
     51.65     76.40     19.74   5622.28      0.00
     57.50     48.42     19.94   4176.17      1.94
     51.27     76.49     20.08   6345.28      3.62
     43.21     66.76     20.25   5821.70      2.72
     49.84      2.38     20.36   1543.18      1.74
     41.69     15.87     20.37   1948.21      3.02
     49.76     73.83     20.38   6485.70      1.83
     49.44     76.81     20.83   6092.43      0.00
     52.50     71.51     20.92   6172.27      1.72
     44.25     14.33     21.06   1907.90      0.00
     44.46     13.83     21.20   2452.07      0.00
     44.46     13.84     21.22   2132.24     17.15
     42.03    122.88     21.27   8889.42      3.11
     53.43    131.71     21.63   9882.44      1.83
     59.31     87.10     21.66   7055.54      5.35
     43.60    136.21     21.74  10673.39      9.91
     42.96    137.37     21.77   9986.42      3.01
     50.61     73.11     21.81   5920.27      8.75
     54.94     82.51     21.85   6255.47      1.93
     51.95    122.16     21.94   9481.55      3.00
     48.80     73.86     21.99   5570.10      9.55
     45.66     53.92     22.00   4815.13      2.97
     40.20      8.98     22.17   2047.59      3.77
     59.87    122.89     22.18   9361.02      1.68
     47.17     73.03     22.24   6286.64      2.94
     49.10     76.31     22.33   6216.96      2.88
     48.19     75.57     22.41   5703.44      0.05
     46.49     75.93     22.45   6001.76      3.11
     45.90     54.39     22.47   4629.09      1.89
     48.05     75.60     22.48   5832.32     11.29
     47.51     75.68     22.68   5913.31      0.35
     40.16     34.56     22.80   3483.59      2.26
     49.05     74.33     22.83   5972.39      1.87
     57.35     84.39     22.84   6365.83      1.53
     50.92     80.10     23.17   6091.55      6.60
     53.05     16.60     23.55   2151.46      2.25
     42.38     19.04     23.72   2546.11      2.75
     53.14     88.16     23.72   6488.45      2.61
     52.33     83.07     23.76   5917.77      0.00
     41.12    126.95     23.92   9744.44      2.57
     42.74     74.57     23.96   6135.36     19.38
     52.29     83.06     24.01   6653.22      0.00
     52.89     82.46     24.02   6671.03      0.00
     42.71    130.52     24.04   9905.09      2.94
     53.13     82.88     24.18   6231.48      0.00
     42.34    127.44     24.19   9403.67      2.69
     52.86     82.56     24.21   6098.43      0.00
     42.47    131.35     24.30   9645.68      1.80
     40.04    136.07     24.48  10296.00      2.35
     53.19     17.36     24.52   2481.81      2.64
     46.38     41.32     24.63   3941.23      0.40
     48.48     80.05     24.76   6210.94      3.38
     46.09     41.17     24.93   3959.73      5.77
     51.50     82.93     25.11   6164.11      7.08
     57.67     86.61     25.15   6541.11      1.83
     43.10     72.79     25.23   5718.37      2.18
     42.39     40.07     25.34   3990.74      1.53
     50.39     83.31     25.56   6051.45      3.70
     43.40     77.79     25.71   5956.69      9.39
     42.71     43.18     25.80   4024.45      3.70
     43.47    126.19     25.85   9670.34      2.19
     43.04     72.07     25.86   6138.16      5.82
     42.43     19.99     26.45   2279.76      0.00
     59.29     64.04     26.51   5166.99      2.63
     42.42     19.98     26.63   2566.32      0.65
     41.94     81.03     26.64   6090.86      2.70
     41.78     70.47     26.72   5415.69      0.00
     55.03     84.80     26.73   6559.39      4.74
     42.65     20.12     26.77   2806.46     14.43
     50.36     83.72     26.80   5715.29      3.75
     41.93     70.26     26.82   5659.83      0.00
     48.31     83.99     26.82   6053.40      1.87
     41.92     70.24     26.83   5866.38      0.00
     45.07     16.42     26.90   2623.17      1.95
     41.26     77.96     26.94   6006.43      1.67
     41.59    133.57     26.96   9825.19      0.00
     47.37     84.40     27.27   6222.54      2.02
     58.61     45.77     27.30   4320.07      2.66
     42.10     74.81     27.31   5728.21      2.18
     58.69     63.58     27.61   4974.02      4.15
     55.65     85.29     27.89   6069.45      2.79
     41.93     25.03     28.01   2918.21      1.75
     48.01    124.21     28.48   9274.40      3.34
     44.15      5.70     28.67   2209.90      6.56
     44.45      0.65     29.10   2149.87      1.71
     53.61     19.36     29.16   2690.41      0.00
     53.52     19.30     29.22   3020.37     11.87
     45.25     17.75     29.37   2774.11      3.68
     56.52     87.01     29.59   6499.86      3.13
     50.82     78.49     29.86   6203.80      2.74
     56.30     45.08     29.86   4241.49      2.49
     50.72    124.32     30.04   9752.08      1.58
     46.49     16.69     30.32   2600.43      0.00
     46.10     17.24     30.75   2771.02      0.00
     46.33     17.07     30.82   2853.07      0.00
     42.69    134.14     30.86  10368.83      2.14
     46.46     17.00     30.91   2662.69      0.00
     41.41     34.35     30.92   4539.92      1.40
     41.45     35.50     30.93   4368.92      0.00
     50.83    123.93     30.93   9387.05      1.28
     40.51     35.83     30.97   2978.16      0.00
     40.78     34.96     31.04   4066.61      0.00
     41.17     35.92     31.28   3443.31      0.00
     41.19     35.88     31.28   4519.23      0.00
     41.20     35.88     31.28   3574.80      0.00
     40.95     35.77     31.38   4272.58      0.00
     41.60     35.93     31.47   2903.87      0.00
     59.80     94.22     31.79   6791.84      1.74
     51.60     57.88     32.65   5038.63      5.23
     49.92     64.57     32.76   5191.62      9.32
     45.55     41.13     32.84   3870.97      0.00
     43.10     38.98     32.88   3760.62      4.23
     45.18     41.16     32.94   4194.00      0.00
     45.19     41.25     32.99   4022.08      0.00
     50.78     57.30     33.07   5282.21      2.07
     51.30     43.93     33.15   4515.65      0.00
     52.79     34.02     33.15   4206.39      4.74
     50.10     85.46     33.23   6751.28      3.09
     41.47     41.93     33.52   4222.29      5.22
     45.10     49.75     33.61   5243.25      2.49
     43.69     42.64     33.71   4023.37      3.08
     44.30     35.27     33.81   4079.31      4.42
     47.69     44.12     33.82   3776.02      0.58
     55.41    123.96     33.94   9752.79      1.96
